[power_x0: 107, power_mu: 63, period: 14, acr_value: 2, balance: -2, unique_sequence_count: 10]
[power_x0: 7, power_mu: 133, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 9, power_mu: 133, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 18, power_mu: 133, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 19, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 26, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 30, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 28, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 31, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 6, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 2, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 3, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 5, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 11, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 13, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 19, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 23, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 20, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 17, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 22, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 28, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 25, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 25, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 29, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 26, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 1, power_mu: 215, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 5, power_mu: 215, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 1, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 6, power_mu: 215, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 9, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 7, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 3, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 13, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 10, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 11, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 14, power_mu: 193, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 14, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 11, power_mu: 215, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 14, power_mu: 215, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 12, power_mu: 215, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 21, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 17, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 20, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 23, power_mu: 193, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 10]
[power_x0: 24, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 215, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 29, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 25, power_mu: 190, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 27, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 30, power_mu: 215, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 27, power_mu: 215, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 31, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 3, power_mu: 235, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 7, power_mu: 235, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 3, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 6, power_mu: 243, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 7]
[power_x0: 6, power_mu: 224, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 6, power_mu: 245, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 9, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 6, power_mu: 235, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 8, power_mu: 243, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 7, power_mu: 224, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 6]
[power_x0: 12, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 13, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 12, power_mu: 235, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 15, power_mu: 235, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 14, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 11, power_mu: 250, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 14, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 16, power_mu: 231, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 17, power_mu: 243, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 6]
[power_x0: 15, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 15, power_mu: 224, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 19, power_mu: 231, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 7]
[power_x0: 16, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 18, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 18, power_mu: 224, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 18, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 22, power_mu: 245, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 22, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 26, power_mu: 235, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 18, power_mu: 231, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 6]
[power_x0: 27, power_mu: 250, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 28, power_mu: 243, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 25, power_mu: 245, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 23, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 29, power_mu: 235, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 25, power_mu: 235, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 31, power_mu: 231, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 30, power_mu: 235, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 27, power_mu: 243, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 27, power_mu: 245, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 28, power_mu: 235, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 29, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 30, power_mu: 243, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 31, power_mu: 243, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 30, power_mu: 250, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 35, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 36, power_mu: 28, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 39, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 35, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 34, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 37, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 33, power_mu: 14, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 38, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 41, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 36, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 43, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 41, power_mu: 7, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 7]
[power_x0: 38, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 38, power_mu: 14, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 42, power_mu: 28, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 10]
[power_x0: 46, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 46, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 48, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 45, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 50, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 47, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 49, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 52, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 54, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 59, power_mu: 14, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 57, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 60, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 59, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 61, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 56, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 60, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 59, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 39, power_mu: 56, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 40, power_mu: 56, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 48, power_mu: 56, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 60, power_mu: 56, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 10]
[power_x0: 37, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 38, power_mu: 63, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 33, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 39, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 32, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 36, power_mu: 63, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 43, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 49, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 50, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 52, power_mu: 63, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 51, power_mu: 63, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 54, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 52, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 57, power_mu: 63, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 57, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 56, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 59, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 37, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 33, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 34, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 38, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 38, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 42, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 40, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 39, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 46, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 44, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 50, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 50, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 48, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 48, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 57, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 61, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 61, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 56, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 58, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 62, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 35, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 48, power_mu: 133, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 57, power_mu: 133, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 61, power_mu: 133, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 62, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 33, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 33, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 38, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 40, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 32, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 43, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 39, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 39, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 44, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 44, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 50, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 47, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 48, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 45, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 49, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 49, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 58, power_mu: 176, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 55, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 57, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 56, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 62, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 60, power_mu: 175, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 60, power_mu: 176, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 36, power_mu: 193, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 37, power_mu: 194, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 38, power_mu: 190, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 33, power_mu: 190, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
